0,1,2,3,4
Alana Passos,1,PSL,Partido Social Liberal,alanapassos@alerj.rj.gov.br
Alexandre Freitas,2,NOVO,Partido Novo,alexandrefreitas@alerj.rj.gov.br
Alexandre Knoploch,3,PSL,Partido Social Liberal,alexandreknoploch@alerj.rj.gov.br
Anderson Alexandre,69,SDD,Solidariedade,andersonalexandre@alerj.rj.gov.br
Bagueira,70,SDD,Solidariedade,bagueira@alerj.rj.gov.br
Brazão,7,PR,Partido da República,brazao@alerj.rj.gov.br
Bruno Dauaire,8,PRP,Partido Republicano Progressista,brunodauaire@alerj.rj.gov.br
Capitão Nelson,9,AVANTE,Avante,capitaonelson@alerj.rj.gov.br
Capitão Paulo Teixeira,71,REP,Republicanos,capitaopauloteixeira@alerj.rj.gov.br
Carlo Caiado,10,DEM,Democratas,carlocaiado@alerj.rj.gov.br
Carlos Macedo,11,REP,Republicanos,carlosmacedo@alerj.rj.gov.br
Carlos Minc,12,PSB,Partido Socialista Brasileiro,carlosminc@alerj.rj.gov.br
Chico Machado,14,PSD,Partido Social Democrático,chicomachado@alerj.rj.gov.br
Dani Monteiro,16,PSOL,Partido Socialismo e Liberdade,danimonteiro@alerj.rj.gov.br
Danniel Librelon,17,REP,Republicanos,danniellibrelon@alerj.rj.gov.br
Dr. Deodalto,20,DEM,Democratas,drdeodalto@alerj.rj.gov.br
Dr. Serginho,21,PSL,Partido Social Liberal,drserginho@alerj.rj.gov.br
Enfermeira Rejane,23,PCdoB,Partido Comunista do Brasil,enfermeirarejane@alerj.rj.gov.br
Fábio Silva,24,DEM,Democratas,fabiosilva@alerj.rj.gov.br
Filipe Soares,25,DEM,Democratas,filipesoares@alerj.rj.gov.br
Filippe Poubel,26,PSL,Partido Social Liberal,filippepoubel@alerj.rj.gov.br
Franciane Motta,28,MDB,Movimento Democrático Brasileiro,francianemotta@alerj.rj.gov.br
Gil Vianna,29,PSL,Partido Social Liberal,gilvianna@alerj.rj.gov.br
Giovani Ratinho,30,PTC,Partido Trabalhista Cristão,giovaniratinho@alerj.rj.gov.br
Gustavo Schmidt,31,PSL,Partido Social Liberal,gustavoschmidt@alerj.rj.gov.br
Gustavo Tutuca,32,MDB,Movimento Democrático Brasileiro,gustavotutuca@alerj.rj.gov.br
Jair Bittencourt,33,PP,Progressistas,jairbittencourt@alerj.rj.gov.br
João Peixoto,34,DC,Democracia Cristã,joaopeixoto@alerj.rj.gov.br
Jorge Felippe Neto,35,PSD,Partido Social Democrático,jorgefelippeneto@alerj.rj.gov.br
Leo Vieira,36,PRTB,Partido Renovador Trabalhista Brasileiro,leovieira@alerj.rj.gov.br
Lucinha,37,PSDB,Partido da Social Democracia Brasileira,lucinha@alerj.rj.gov.br
Marcelo Cabeleireiro,39,DC,Democracia Cristã,marcelocabeleireiro@alerj.rj.gov.br
Marcelo do seu Dino,40,PSL,Partido Social Liberal,marcelodoseudino@alerj.rj.gov.br
Márcio Canella,41,MDB,Movimento Democrático Brasileiro,marciocanella@alerj.rj.gov.br
Márcio Gualberto,42,PSL,Partido Social Liberal,marciogualberto@alerj.rj.gov.br
Márcio Pacheco,43,PSC,Partido Social Cristão,marciopacheco@alerj.rj.gov.br
Marcos Muller,44,PHS,Partido Humanista da Solidariedade,marcosmuller@alerj.rj.gov.br
Marina Rocha,45,PMB,Partido da Mulher Brasileira,marinarocha@alerj.rj.gov.br
Max Lemos,47,MDB,Movimento Democrático Brasileiro,maxlemos@alerj.rj.gov.br
Mônica Francisco,48,PSOL,Partido Socialismo e Liberdade,monicafrancisco@alerj.rj.gov.br
Renan Ferreirinha,49,PSB,Partido Socialista Brasileiro,renanferreirinha@alerj.rj.gov.br
Renata Souza,50,PSOL,Partido Socialismo e Liberdade,renatasouza@alerj.rj.gov.br
Renato Cozzolino,51,PRP,Partido Republicano Progressista,renatocozzolino@alerj.rj.gov.br
Renato Zaca,52,PSL,Partido Social Liberal,renatozaca@alerj.rj.gov.br
Rodrigo Amorim,53,PSL,Partido Social Liberal,rodrigoamorim@alerj.rj.gov.br
Rosane Felix,55,PSD,Partido Social Democrático,rosanefelix@alerj.rj.gov.br
Rosenverg Reis,56,MDB,Movimento Democrático Brasileiro,rosenvergreis@alerj.rj.gov.br
Samuel Malafaia,57,DEM,Democratas,samuelmalafaia@alerj.rj.gov.br
Sergio Fernandes,58,PDT,Partido Democrático Trabalhista,sergiofernandes@alerj.rj.gov.br
Sergio Louback,59,PSC,Partido Social Cristão,sergiolouback@alerj.rj.gov.br
Sub Tenente Bernardo,60,PROS,Partido Republicano da Ordem Social,subtenentebernardo@alerj.rj.gov.br
Thiago Pampolha,61,PDT,Partido Democrático Trabalhista,thiagopampolha@alerj.rj.gov.br
Tia Ju,62,REP,Republicanos,tiaju@alerj.rj.gov.br
Val Ceasa,63,PATRI,Patriota,valceasa@alerj.rj.gov.br
Valdecy da Saúde,64,PHS,Partido Humanista da Solidariedade,valdecydasaude@alerj.rj.gov.br
Vandro Familia,65,SDD,Solidariedade,vandrofamilia@alerj.rj.gov.br
Welberth Rezende,67,PPS,Partido Popular Socialista,welberthrezende@alerj.rj.gov.br
