name,nickname,congressman_id,party_code,party_name,email
Alana Passos,Alana Passos,1,PSL,Partido Social Liberal,alanapassos@alerj.rj.gov.br
Alexandre Freitas,Alexandre Freitas,2,NOVO,Partido Novo,alexandrefreitas@alerj.rj.gov.br
Alexandre Gomes Knoploch dos Santos,Alexandre Knoploch,3,PSL,Partido Social Liberal,alexandreknoploch@alerj.rj.gov.br
Wanderson Gimenes Alexandre,Anderson Alexandre,69,SDD,Solidariedade,andersonalexandre@alerj.rj.gov.br
Bagueira,Bagueira,70,SDD,Solidariedade,bagueira@alerj.rj.gov.br
Manoel Inacio Brazao,Brazão,7,PR,Partido da República,brazao@alerj.rj.gov.br
Bruno Dauaire,Bruno Dauaire,8,PRP,Partido Republicano Progressista,brunodauaire@alerj.rj.gov.br
Capitão Nelson,Capitão Nelson,9,AVANTE,Avante,capitaonelson@alerj.rj.gov.br
Capitão Paulo Teixeira,Capitão Paulo Teixeira,71,REP,Republicanos,capitaopauloteixeira@alerj.rj.gov.br
Carlo Caiado,Carlo Caiado,10,DEM,Democratas,carlocaiado@alerj.rj.gov.br
Carlos Macedo,Carlos Macedo,11,REP,Republicanos,carlosmacedo@alerj.rj.gov.br
Carlos Minc,Carlos Minc,12,PSB,Partido Socialista Brasileiro,carlosminc@alerj.rj.gov.br
Chico Machado,Chico Machado,14,PSD,Partido Social Democrático,chicomachado@alerj.rj.gov.br
Daniella Monteiro Da Silva,Dani Monteiro,16,PSOL,Partido Socialismo e Liberdade,danimonteiro@alerj.rj.gov.br
Danniel Librelon Dias De Castro,Danniel Librelon,17,REP,Republicanos,danniellibrelon@alerj.rj.gov.br
Dr. Deodalto,Dr. Deodalto,20,DEM,Democratas,drdeodalto@alerj.rj.gov.br
Sérgio Luiz Costa Azevedo Filho,Dr. Serginho,21,PSL,Partido Social Liberal,drserginho@alerj.rj.gov.br
Enfermeira Rejane,Enfermeira Rejane,23,PCdoB,Partido Comunista do Brasil,enfermeirarejane@alerj.rj.gov.br
Fábio Silva,Fábio Silva,24,DEM,Democratas,fabiosilva@alerj.rj.gov.br
Filipe Soares,Filipe Soares,25,DEM,Democratas,filipesoares@alerj.rj.gov.br
Filippe Medeiros Poubel,Filippe Poubel,26,PSL,Partido Social Liberal,filippepoubel@alerj.rj.gov.br
Franciane Motta,Franciane Motta,28,MDB,Movimento Democrático Brasileiro,francianemotta@alerj.rj.gov.br
Gil Vianna,Gil Vianna,29,PSL,Partido Social Liberal,gilvianna@alerj.rj.gov.br
Giovani Leite De Abreu,Giovani Ratinho,30,PTC,Partido Trabalhista Cristão,giovaniratinho@alerj.rj.gov.br
Gustavo Antunes Modesto Schmidt,Gustavo Schmidt,31,PSL,Partido Social Liberal,gustavoschmidt@alerj.rj.gov.br
Gustavo Tutuca,Gustavo Tutuca,32,MDB,Movimento Democrático Brasileiro,gustavotutuca@alerj.rj.gov.br
Jair Bittencourt,Jair Bittencourt,33,PP,Progressistas,jairbittencourt@alerj.rj.gov.br
João Peixoto,João Peixoto,34,DC,Democracia Cristã,joaopeixoto@alerj.rj.gov.br
Jorge Felippe Neto,Jorge Felippe Neto,35,PSD,Partido Social Democrático,jorgefelippeneto@alerj.rj.gov.br
Leo Vieira,Leo Vieira,36,PRTB,Partido Renovador Trabalhista Brasileiro,leovieira@alerj.rj.gov.br
Lucinha,Lucinha,37,PSDB,Partido da Social Democracia Brasileira,lucinha@alerj.rj.gov.br
Marcelo Borges Da Silva,Marcelo Cabeleireiro,39,DC,Democracia Cristã,marcelocabeleireiro@alerj.rj.gov.br
Marcelo Ferreira Ribeiro,Marcelo do seu Dino,40,PSL,Partido Social Liberal,marcelodoseudino@alerj.rj.gov.br
Márcio Canella,Márcio Canella,41,MDB,Movimento Democrático Brasileiro,marciocanella@alerj.rj.gov.br
Márcio Gualberto Dos Santos,Márcio Gualberto,42,PSL,Partido Social Liberal,marciogualberto@alerj.rj.gov.br
Márcio Pacheco,Márcio Pacheco,43,PSC,Partido Social Cristão,marciopacheco@alerj.rj.gov.br
Marcos Muller,Marcos Muller,44,PHS,Partido Humanista da Solidariedade,marcosmuller@alerj.rj.gov.br
