congressman_id|congressman_name|congressman_nickname|date|value|object|to|code|parent_code|description|cost_center_id
1|Alana Passos|Alana Passos|2020-05-18 14:36:39|-6500.00|LOCAÇÃO DE VEÍCULO COROLA|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
1.1|Alana Passos|Alana Passos|2020-05-19 14:46:41|-306.89|COMBUSTÍVEL NF 27.682 e 27.788|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.2|Alana Passos|Alana Passos|2020-05-25 14:39:57|-208.37|COMBUSTÍVEL NF 27.808|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.3|Alana Passos|Alana Passos|2020-05-31 14:48:37|-6000.00|SERVIÇOS DE ASSESSORIA DE COMUNICAÇÃO|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
1.4|Alana Passos|Alana Passos|2020-04-27 13:53:10|-225.03|COMBUSTÍVEL NF 27.629|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.5|Alana Passos|Alana Passos|2020-04-30 13:57:51|-6000.00|SERVIÇOS DE ASSESSORIA DE COMUNICAÇÃO|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
1.6|Alana Passos|Alana Passos|2020-04-18 13:36:31|-6500.00|LOCAÇÃO DE VEÍCULO COROLLA|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
1.7|Alana Passos|Alana Passos|2020-04-15 13:32:59|-641.00|COMBUSTÍVEL NF 14.464/27.418/27.555|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.8|Alana Passos|Alana Passos|2020-03-18 15:20:06|-6500.00|Locação de Veículo Corolla|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
1.9|Alana Passos|Alana Passos|2020-03-31 15:25:59|-178.84|Combustível NF nº 27.418|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.10|Alana Passos|Alana Passos|2020-03-11 19:26:55|-590.21|Combustível NF nº 27.300, 27.330 e 27.378|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.11|Alana Passos|Alana Passos|2020-03-31 20:26:45|-6000.00|SERVIÇOS DE ASSESSORIA DE COMUNICAÇÃO|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
1.12|Alana Passos|Alana Passos|2020-02-18 14:38:57|-6500.00|Locação de Veículo Corolla|HORIZONTE LOCADORA DE VEÍCULOS|VI||Outras despesas com locomoção|20
1.13|Alana Passos|Alana Passos|2020-02-28 14:55:37|-6000.00|Serviços de Assessoria de Comunicação|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
1.14|Alana Passos|Alana Passos|2020-02-18 15:02:17|-1170.46|Combustível NF nº 27.086, 27.118, 27.189, 27.212, 14.297 e 14.298|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.15|Alana Passos|Alana Passos|2020-02-24 19:18:34|-381.30|combustível NF nº 27.235 e 27.261|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.16|Alana Passos|Alana Passos|2020-01-18 18:17:43|-6500.00|Locação de veículo Corolla|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
1.17|Alana Passos|Alana Passos|2020-01-18 18:11:58|-1086.37|Combustíveis NF 26.879; 26.902; 26.920; 26.946 e 14.176|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.18|Alana Passos|Alana Passos|2020-01-31 19:38:26|-806.16|Combustíveis NF 014.222; 027.068 e 027.040|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.19|Alana Passos|Alana Passos|2020-01-10 17:02:08|-1550.00|Locação de Gabinete Avançado situado na Rua Ver Marinho H. de Oliveira, 853/410 Queimados RJ|SILVERIO ANTONIO LAZARONI|III.a|III|Locação de imóveis|7
1.20|Alana Passos|Alana Passos|2020-01-31 18:55:48|-6000.00|Serviços de assessoria de comunicação|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
1.21|Alana Passos|Alana Passos|2019-12-10 20:33:50|-1550.00|LOCAÇÃO DE GABINETE AVANÇADO REF. DEZEMBRO2019|SILVERIO ANTONIO LAZARONI|III.a|III|Locação de imóveis|7
1.22|Alana Passos|Alana Passos|2019-12-18 15:44:01|-6500.00|LOCAÇÃO DE VEÍCULO BLINDADO TOYOTA COROLLA|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
1.23|Alana Passos|Alana Passos|2019-12-18 15:45:41|-1167.59|COMBUSTIVEIS NF 026.585; NF 026.680; NF 014.028; NF 026.709; NF 026.722|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.24|Alana Passos|Alana Passos|2019-12-20 16:34:11|-75513.90|DEVOLUÇÃO SALDO DOCIGP DEZEMBRO 2019|Assembleia Legislativa do Estado do Rio de Janeiro|4||Devolução de saldo|26
1.25|Alana Passos|Alana Passos|2019-12-30 17:04:49|-6000.00|ASSESSORIA DE COMUNICAÇÃO E DIVULGAÇÃO DE MANDATO|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA||||24
